"identité";0.25913;0.01836;0.2074;0.01839
"sous";-0.04811;0.00415;-0.09684;0.02628
"sein";-0.12947;0.02546;-0.10341;0.0254
"respect";-0.18634;0.00316;0.55008;0.04311
"métropole";0.51603;0.66341;0.53602;1.11897
"principal";0.15951;0.04638;-0.16155;0.07437
"crise";0.71034;1.04246;-0.17418;0.09799
"présenter";0.09532;0.00966;-0.13562;0.03058
"selon";-0.20377;0.05551;0.25435;0.1352
"État";-0.22754;0.08022;-0.05281;0.00675
"objectif";0.07477;0.00272;-0.38364;0.11185
"démocratique";1.27784;0.84338;-0.7142;0.41185
"démarche";0.10928;0.01415;-0.21852;0.08845
"http";0.32309;0.2442;-0.07327;0.01963
"collège";0.40679;0.04022;-0.727;0.20082
"séance";0.28129;0.0024;1.12843;0.06048
"non";0.05075;0.00336;-0.55947;0.63924
"y";0.02815;0.00132;-0.13512;0.04769
"important";-0.02221;0.00051;0.16171;0.04223
"capacité";-0.00059;0;-0.06185;0.00781
"heure";0.11433;0.00357;0.47513;0.0965
"encore";0.12811;0.02543;0.30819;0.23007
"période";-0.08658;0.01526;0.19332;0.11892
"local";-0.17426;0.05904;-0.12613;0.04835
"dynamique";0.35694;0.29805;-0.13586;0.0675
"nombreux";-0.132;0.02965;0.11463;0.03495
"entrée";0.11358;0.01568;-0.18485;0.06491
"document";0.31549;0.16935;-0.48088;0.61504
"Afrique";-0.30726;0.22659;0.29874;0.33486
"règle";-0.42016;0.03218;0.26091;0.0194
"article";-0.18634;0.00949;0.55008;0.12934
"religieux";-0.76565;1.19331;-0.16637;0.08808
"très";-0.28175;0.15194;0.17677;0.0935
"aller";0.00809;0.00013;0.0594;0.01106
"fin";0.05129;0.00432;-0.04964;0.00632
"souligner";-0.00568;4e-05;-0.09595;0.01618
"proposition";0.28129;0.0024;1.12843;0.06048
"enseignement";0.1666;0.04048;-0.10251;0.02396
"constituer";0.14642;0.03192;0.14095;0.04624
"contexte";0.0283;0.00144;0.20212;0.11448
"depuis";0.25556;0.12302;0.05885;0.0102
"chacun";0.58209;0.25736;0.05277;0.00331
"consacrer";-0.19159;0.06357;0.33195;0.2983
"région";0.48927;0.49456;-0.21105;0.14385
"n";0.11308;0.01942;-0.20557;0.10035
"croissance";-0.7475;1.27323;-0.14393;0.07379
"organisation";0.00114;0;0.03222;0.00291
"durable";-0.55421;0.63457;-0.31883;0.3283
"production";0.02848;0.00103;0.0498;0.00495
"fois";0.01118;0.00021;0.00448;5e-05
"cela";0.0289;0.00063;-0.30967;0.11386
"particulier";-0.05431;0.00358;-0.09088;0.01569
"élection";0.6746;0.17974;0.0682;0.00287
"connaître";0.09865;0.01005;0.1929;0.06009
"pourquoi";0.39203;0.13541;-0.12127;0.02025
"sens|sen";0.22889;0.06686;0.29767;0.17675
"moins";-0.11492;0.01765;0.09006;0.01695
"vote";0.90875;0.67744;-0.03174;0.00129
"occasion";0.19583;0.05593;-0.06637;0.01004
"part";-0.32708;0.18201;0.0888;0.02097
"caractère";-0.18272;0.01927;-0.29203;0.07696
"lutte";-0.62057;0.16381;0.01305;0.00011
"trois";-0.0972;0.0155;0.06459;0.0107
"afin";0.18119;0.01795;0.11101;0.01054
"voir";0.04403;0.00224;0.20006;0.07224
"mode";-0.42847;0.2008;-0.08447;0.0122
"collectif";-0.22687;0.02189;0.21273;0.03009
"publique";0.44846;0.12832;-0.00525;3e-05
"manière";0.01547;0.00038;-0.12832;0.04066
"façon";-0.01923;6e-05;-0.0475;0.00054
"amener";-0.05467;0.00154;0.47638;0.18324
"pauvreté";-0.85341;1.50467;-0.2749;0.24407
"limite";0.11749;0.00461;-0.53644;0.15034
"fr";0.34091;0.20833;-0.22915;0.14714
"organiser";-0.0276;0.00056;0.07619;0.00662
"fondamental";0.09278;0.00445;-0.0509;0.00209
