"vivre",36,7,6,10
"suffrage",43,5,11,0
"loin",8,8,21,21
"engager",45,1,9,3
"intérêt",32,4,16,6
"mobilité",2,15,38,3
"aménagement",2,40,7,9
"niveau",19,1,12,26
"stéréotype",57,1,0,0
"essentiel",25,2,6,24
"documentation",1,15,22,19
"Louis",1,1,25,30
"justice",48,1,5,3
"mener",41,4,6,6
"dignité",56,0,0,1
"mobiliser",33,5,10,8
"système",9,7,17,23
"changement",6,3,11,36
"individu",40,5,6,5
"parmi",13,9,21,13
"nombre",21,2,12,21
"santé",16,2,0,38
"respecter",52,0,3,1
"%",1,0,28,26
"inviter",33,3,16,3
"civique",37,7,6,5
"avant",33,4,12,6
"connaissance",36,5,7,6
"maritime",0,8,38,8
"XIXe",19,2,32,1
"mesure",30,2,10,12
"la",32,1,13,8
"utiliser",28,3,10,13
"nécessaire",37,3,5,9
"domaine",22,9,13,10
"union",6,46,1,1
"école",38,0,6,10
"colonial",3,3,47,1
"jugement",54,0,0,0
"échange",8,3,28,14
"aspect",12,15,13,13
"marquer",2,7,21,23
"affaire",31,3,18,1
"élément",29,3,13,8
"souvent",13,4,18,18
"territorial",6,17,13,17
"chaque",33,3,9,8
"exercice",44,3,3,3
"antisémitisme",52,0,0,1
"sexuel",53,0,0,0
"concret",15,10,9,18
"puis",24,3,14,11
"nation",20,3,19,10
"individuel",37,2,7,6
"conscience",40,1,5,6
"importance",27,2,8,15
"savoir",30,4,7,10
"dossier",26,6,14,5
"roi",2,0,14,35
"historique",12,7,22,10
"ensuite",31,1,11,8
"traite",1,0,41,9
"traiter",17,14,11,8
"critique",36,2,10,2
"responsabilité",45,0,2,3
"participer",38,1,7,4
"États-Unis",0,8,36,6
"dernier",15,3,18,13
"source",11,2,12,24
"industriel",0,6,33,10
"technologique",19,7,8,15
"accès",14,2,1,32
"prise",27,1,9,12
"établissement",44,3,1,1
"numérique",39,4,3,3
"évoquer",15,12,9,12
"photographique",1,11,21,15
"peuple",36,2,8,2
"enfin",33,5,7,3
"mouvement",10,7,23,8
"environnement",15,6,6,21
"lors",30,3,9,6
"professionnel",29,5,9,5
"moral",30,6,8,3
"penser",29,1,9,8
"après",17,8,15,7
"commun",31,3,6,7
"début",15,2,16,14
"cycle",10,9,12,16
"exercer",33,5,5,4
"repère",5,15,17,10
"EMC",42,4,1,0
"phénomène",1,5,28,12
"transformation",4,10,18,14
"lumière",4,1,39,2
"science",18,3,14,11
"limiter",10,6,14,16
"confronter",25,4,9,8
"compte",21,5,10,10
"inscrire",13,5,16,12
"fonctionnement",38,1,2,5
"lycée",26,7,8,5
"reposer",35,4,2,5
"environ",6,0,22,17
"XVIIIe",7,0,36,2
"envisager",14,4,13,14
"offrir",10,7,14,14
"seul",18,7,14,6
"cause",20,3,15,7
"sujet",18,8,12,7
"religion",8,0,13,24
"jusque",10,4,20,11
"inégal",2,2,14,27
"public",24,5,12,4
"militaire",1,14,14,16
"représentatif",41,1,3,0
"républicain",31,4,9,1
"cependant",4,7,19,14
"réalité",19,7,12,6
"considérer",32,4,2,6
"chercher",17,6,12,9
"écrire",33,1,4,6
"commerce",0,0,33,11
"besoin",5,1,3,34
"paysage",1,6,23,13
"fonder",17,3,14,9
"divers",15,8,12,8
"récit",8,5,11,19
"personnel",33,2,3,5
"fonction",27,2,5,9
"concerner",20,6,5,12
"handicap",42,0,1,0
"sexiste",43,0,0,0
"tension",15,6,15,6
"Paris",8,10,23,1
"abord",18,0,11,13
"centre",19,4,18,1
"eux",15,3,14,10
"alimentaire",0,0,1,41
"trouver",20,1,6,15
"agricole",1,5,4,32
"mieux",25,2,6,9
"prévention",20,0,0,22
"processus",8,7,22,4
"entreprise",1,1,36,3
"riche",3,1,13,24
"acquérir",33,1,6,1
"moment",8,8,12,13
"5e",14,1,2,24
"répondre",15,9,6,11
"eau",1,0,0,40
"parfois",14,4,12,11
"citoyenneté",32,6,3,0
"cours|cour",22,5,9,4
"raison",17,2,11,10
"rester",15,2,14,9
"communauté",32,0,4,4
