XVIIIe,0,36,2
envisager,4,13,14
offrir,7,14,14
seul,7,14,6
cause,3,15,7
sujet,8,12,7
religion,0,13,24
jusque,4,20,11
inégal,2,14,27
public,5,12,4
militaire,14,14,16
représentatif,1,3,0
républicain,4,9,1
cependant,7,19,14
réalité,7,12,6
considérer,4,2,6
chercher,6,12,9
écrire,1,4,6
commerce,0,33,11
besoin,1,3,34
paysage,6,23,13
fonder,3,14,9
divers,8,12,8
récit,5,11,19
personnel,2,3,5
fonction,2,5,9
concerner,6,5,12
handicap,0,1,0
tension,6,15,6
Paris,10,23,1
abord,0,11,13
centre,4,18,1
eux,3,14,10
alimentaire,0,1,41
trouver,1,6,15
agricole,5,4,32
mieux,2,6,9
prévention,0,0,22
processus,7,22,4
entreprise,1,36,3
riche,1,13,24
acquérir,1,6,1
moment,8,12,13
5e,1,2,24
répondre,9,6,11
eau,0,0,40
parfois,4,12,11
citoyenneté,6,3,0
cours|cour,5,9,4
raison,2,11,10
rester,2,14,9
communauté,0,4,4
