"travailler";0.11157;0.00712;0.70521;0.60871;0.14102;0.04061
"cadre";0.16695;0.03103;0.14697;0.05149;-0.19919;0.15778
"vie";-0.19454;0.05581;-0.30499;0.29362;0.21262;0.23808
"notion";0.22815;0.04307;0.4633;0.38025;0.3345;0.33071
"notamment";0.05428;0.00399;-0.00637;0.00012;0.48434;1.13459
"mise";0.27033;0.13194;-0.24185;0.22608;-0.15156;0.14813
"guerre";-0.86864;1.73696;0.38545;0.73218;-0.21906;0.39456
"Europe";-0.45148;0.47536;0.16675;0.13882;-0.0609;0.03089
"personne";0.41816;0.05262;0.31575;0.06422;0.22655;0.05516
"place";-0.29452;0.13443;0.30265;0.30388;-0.06003;0.01995
"citoyen";0.195;0.01888;0.69497;0.51336;0.19312;0.06614
"république";-0.82627;0.84231;0.55287;0.80732;-0.36939;0.60128
"situation";0.50204;0.23512;-0.37857;0.2862;-0.3529;0.41494
"économique";0.37903;0.281;0.12063;0.06093;-0.08759;0.0536
"quel";0.18134;0.05442;0.57455;1.1696;-0.02579;0.00393
"forme";0.27522;0.05698;-0.28725;0.13288;0.08329;0.01864
"choisir";0.21747;0.0676;-0.2647;0.21439;0.14016;0.10029
"choix";0.57273;0.55276;-0.15305;0.0845;0.01475;0.00131
"art";-0.79255;1.2475;-0.57728;1.41686;0.64914;2.98911
"dont";-0.13107;0.02197;-0.1702;0.07931;0.04793;0.01049
"principe";-0.60559;0.14347;0.18041;0.02726;0.0899;0.01129
"femme";-0.51689;0.20904;0.65933;0.72809;-0.67571;1.27589
"possible";0.08643;0.00843;-0.0044;5e-05;0.25421;0.26046
"contre";-0.28315;0.03016;0.09064;0.00661;-0.00772;8e-05
"débat";0.13169;0.01174;0.006;5e-05;-0.3144;0.23904
"lieu";-0.00194;1e-05;0.02431;0.00202;0.11991;0.0819
"site";-0.08748;0.00829;-0.74484;1.28658;-0.10466;0.04238
"action";-0.2775;0.03592;-0.43582;0.18965;0.26465;0.11668
"donner";-0.10633;0.01191;-0.01329;4e-04;-0.01458;8e-04
"comment";0.2436;0.07321;0.42729;0.48222;-0.29806;0.39148
"puissance";0.12086;0.02747;-0.13126;0.06937;-0.20525;0.28298
"prendre";-0.13701;0.02034;-0.28939;0.19422;0.04251;0.00699
"groupe";-0.13937;0.00906;-0.31139;0.09681;-0.23391;0.09115
"enjeu";0.53237;0.28145;0.0307;0.002;-0.02109;0.00158
"rôle";-0.05679;0.00315;-0.10311;0.02226;-0.18672;0.12178
"partie";-0.31148;0.13284;-0.46158;0.62448;0.15701;0.12055
"compétence";0.11402;0.00841;0.9011;1.1246;-0.20566;0.09774
"réflexion";-0.37225;0.04378;-0.10788;0.00787;0.35977;0.14607
"si";-0.20898;0.05059;-0.02905;0.00209;0.0913;0.03449
"homme";-0.24913;0.05323;-0.1006;0.01858;-0.18549;0.1054
"étudier";0.23476;0.06385;0.31419;0.24483;0.33791;0.4725
"agir";0.11184;0.01091;-0.17054;0.05433;-0.24848;0.19245
"ensemble";0.23776;0.06124;0.21715;0.10935;-0.02516;0.00245
"population";0.61909;0.5536;-0.11431;0.04041;-0.20618;0.21931
"éducation";0.49905;0.17237;-0.33202;0.16333;-0.54972;0.74703
"séquence";0.29511;0.00655;0.25948;0.01084;-0.59346;0.09463
"violence";-0.96568;0.25256;-0.22058;0.02821;0.32055;0.09939
"ville";0.57472;0.57648;-0.03295;0.00406;0.25033;0.39065
"certain";0.39626;0.1701;0.13312;0.0411;0.03575;0.00494
"inégalité";0.94876;1.16473;-0.11848;0.03888;0.09886;0.04516
"sans";-0.19765;0.05349;-0.09847;0.02842;0.10835;0.05741
"proposer";0.39093;0.07128;-0.27131;0.0735;-0.05982;0.00596
"révolution";-0.81474;0.96878;-0.00951;0.00028;0.20372;0.21634
"développer";0.39598;0.14863;-0.27514;0.15361;-0.33102;0.37098
"année";-0.56213;0.39937;0.18631;0.09391;-0.325;0.4768
"États";0.55077;0.47467;-0.15403;0.07947;-0.19869;0.22064
"montrer";0.19456;0.04784;0.22409;0.13587;-0.02388;0.00258
"lier";0.46907;0.21518;0.08884;0.01653;-0.03692;0.00476
"opinion";-0.51346;0.03173;-0.59843;0.09228;0.127;0.00693
"autour";0.01958;0.00029;-0.08438;0.01147;0.12136;0.03957
"problématique";0.22593;0.06067;-0.2418;0.14877;-0.1777;0.13406
"idée";-0.5144;0.23489;-0.12144;0.02802;-0.10102;0.03236
"parcours";0.1423;0.01858;0.90731;1.61741;0.17027;0.09504
"presse";-0.30869;0.03584;-0.05747;0.00266;-0.34468;0.15962
"bien";0.0253;0.00079;0.23043;0.14024;-0.01235;0.00067
