"lemmes","EMC_2015","EMC_2025","Geo_2015","Geo_2025","Hist_2015","Hist_2025"
"début",0,12,3,1,13,18
"cycle",0,10,2,17,2,16
"exercer",0,33,3,4,1,6
"repère",0,5,2,25,2,13
"EMC",1,41,0,0,0,5
"phénomène",0,1,13,14,6,12
"transformation",0,4,6,13,7,16
"lumière",0,4,1,0,20,21
"science",0,18,7,7,8,6
"limiter",0,9,6,13,15,3
"confronter",0,25,5,3,5,8
"compte",0,21,9,3,8,5
"inscrire",0,12,5,4,13,12
"fonctionnement",0,37,1,1,4,3
"lycée",1,25,0,10,0,10
"reposer",0,35,0,7,2,2
"environ",0,5,17,0,20,3
"XVIIIe",0,7,0,0,27,11
"envisager",0,13,7,15,9,1
"offrir",0,7,10,4,11,13
"seul",2,15,3,3,13,9
"cause",2,18,4,3,13,5
"sujet",3,15,2,0,15,10
"religion",0,8,9,0,10,18
"jusque",1,8,6,0,20,10
"inégal",0,2,16,21,5,1
"public",0,24,1,7,12,1
"militaire",0,1,1,3,22,18
"représentatif",0,40,1,0,2,2
"républicain",0,17,0,1,15,12
"cependant",0,4,17,5,2,16
"réalité",0,18,7,5,7,7
"considérer",1,29,3,4,3,4
"chercher",0,17,2,12,1,12
"écrire",5,28,2,0,8,1
"commerce",0,0,3,2,18,21
"besoin",0,5,18,15,5,0
"paysage",0,1,9,25,5,3
"fonder",0,17,3,2,13,8
"divers",0,14,6,3,7,13
"récit",1,7,0,3,22,10
"personnel",6,27,2,2,5,1
"fonction",1,25,3,4,10,0
"concerner",0,20,4,7,6,6
"handicap",0,42,1,0,0,0
"sexiste",0,43,0,0,0,0
"tension",0,15,3,5,12,7
"Paris",3,4,8,1,23,3
"abord",0,18,2,1,17,4
"centre",0,19,8,8,4,3
"eux",0,15,9,2,11,5
"alimentaire",0,0,30,9,1,2
"trouver",3,17,1,1,14,6
"agricole",0,1,20,16,3,2
"mieux",3,22,3,6,5,3
"prévention",0,20,9,13,0,0
"processus",0,7,12,6,13,3
"entreprise",0,1,28,2,5,5
"riche",1,2,22,6,7,3
"acquérir",0,32,2,2,4,1
"moment",0,8,2,2,12,17
"5e",0,14,10,9,8,0
"répondre",3,12,6,13,3,4
"eau",0,1,25,15,0,0
"parfois",0,14,6,11,3,7
"citoyenneté",3,29,0,5,1,3
"cours|cour",0,21,5,0,6,8
"raison",4,12,9,5,6,4
"rester",3,11,5,8,8,5
"communauté",0,32,2,1,4,1
