"société";0.06514;0.01141;-0.45199;0.9896;0.27982;0.42232;0.18012;0.20339;0.09752;0.07308;0.21641;0.49668;0.15943;0.3017;0.09523;0.13094;0.11272;0.216;-0.05119;0.04991
"mettre";0.11298;0.0347;-0.10899;0.05818;0.14964;0.12211;-0.0678;0.02914;-0.03132;0.00762;-0.0338;0.01225;0.05339;0.03421;-0.05251;0.04026;0.02143;0.0079;-0.05595;0.06029
"exemple";0.08986;0.02557;0.15532;0.13764;-0.17547;0.19559;0.00254;5e-05;0.04036;0.01474;-0.09562;0.1142;-0.15757;0.34708;0.10573;0.19012;-0.24287;1.18108;0.1859;0.77517
"expression";-0.60167;0.12977;0.06772;0.00296;-0.65598;0.30945;0.12724;0.01353;0.32187;0.10615;0.06407;0.0058;0.43315;0.29692;-0.20391;0.08005;-0.14785;0.04955;-0.12415;0.03914
"devoir";0.16979;0.06028;-0.11046;0.04597;0.03999;0.00671;0.01601;0.00125;0.08164;0.03984;-0.13028;0.14001;-0.02497;0.00576;0.00551;0.00034;0.05833;0.045;0.08192;0.09941
"représentation";-0.50837;0.12739;-0.05774;0.00296;-0.45558;0.20524;-0.32676;0.12271;-0.26728;0.10064;-0.02315;0.00104;0.13645;0.04052;-0.38421;0.39077;0.06596;0.01356;0.27049;0.25544
"développement";0.91645;2.923;-0.56917;2.03131;0.04158;0.01207;0.30035;0.73206;0.08347;0.06931;-0.02456;0.00828;0.05522;0.04685;-0.01221;0.00278;0.09707;0.20738;0.02199;0.01192
"siècle";-0.80453;2.02063;-0.18831;0.19945;-0.08573;0.04603;-0.20496;0.30579;-0.39846;1.41669;-0.08845;0.09633;0.06535;0.05886;0.16828;0.47474;0.09728;0.1868;0.08006;0.14173
"classe";0.11252;0.02118;0.30392;0.2784;0.71845;1.73225;-0.00839;0.00027;-0.18973;0.17212;0.1261;0.10494;-0.00292;6e-05;0.08341;0.06251;0.08307;0.073;-0.03132;0.01162
"espace";0.60393;1.2857;0.70833;3.1865;0.03272;0.00757;0.06194;0.03153;-0.19306;0.37552;-0.11304;0.17768;-0.01526;0.00362;-0.24939;1.17743;0.08671;0.16759;0.03894;0.03785
"territoire";0.72602;1.85022;1.13445;8.13907;0.00825;0.00048;0.65388;3.49934;-0.30233;0.91705;-0.23256;0.74887;-0.003;0.00014;0.11513;0.24987;-0.3158;2.2135;0.00769;0.00147
"comprendre";-0.01953;0.00063;0.18887;0.1056;0.3386;0.37788;0.05822;0.01298;-0.30339;0.43228;0.00322;7e-05;-0.17379;0.21907;0.05542;0.02711;0.0394;0.01613;0.08634;0.08675
"aborder";-0.11017;0.02792;0.07102;0.0209;0.46066;0.97923;0.08374;0.03761;-0.03123;0.00641;0.09899;0.08891;-0.194;0.38218;0.02013;0.00501;0.08998;0.11778;0.01103;0.00198
"premier";-0.1814;0.07422;0.09894;0.03978;0.40048;0.72569;-0.03311;0.00577;0.01163;0.00087;0.11739;0.12259;0.04179;0.01739;-0.01765;0.00377;-0.01596;0.00363;-0.01583;0.004
"programme";-0.04756;0.00541;-0.07766;0.02597;-0.05006;0.01201;0.20427;0.23252;0.07651;0.03999;-0.13863;0.18116;-0.14162;0.21161;-0.28734;1.05969;0.06875;0.07143;-0.12099;0.24779
"différent";0.19898;0.07333;0.17249;0.09928;0.17;0.10738;-0.05125;0.01134;-0.03852;0.00785;0.00437;0.00014;-0.07012;0.0402;-0.13197;0.17324;0.0275;0.00885;-0.07731;0.07841
"pays";0.93682;2.89709;-0.50856;1.53821;-0.21593;0.30877;-0.13731;0.14511;0.55619;2.91877;-0.2394;0.74631;-0.13652;0.27162;0.17441;0.53929;-0.21541;0.96855;-0.04062;0.03857
"aussi";-0.14066;0.03487;0.20606;0.13483;0.35781;0.45268;0.01556;0.001;-0.03496;0.00616;-0.13559;0.12781;0.14096;0.1546;-0.04499;0.01916;-0.0646;0.04651;0.08846;0.09768
"la|le";-0.29127;0.16094;-0.05525;0.01043;-0.0477;0.00866;0.07357;0.02394;0.03937;0.0084;-0.002;3e-05;-0.10301;0.08887;-0.02198;0.00492;0.00605;0.00044;-0.02635;0.00933
"France";-0.36145;0.33174;0.53143;1.29204;0.23144;0.27286;0.59707;2.11071;-0.04015;0.0117;-0.38213;1.46259;-0.04559;0.0233;0.20807;0.59039;-0.0638;0.06536;-0.00531;0.00051
"ainsi";0.06834;0.009;-0.01837;0.00117;0.14777;0.08441;-0.18768;0.15826;0.12009;0.07943;0.00077;0;0.09266;0.07303;0.12184;0.15362;0.15338;0.28662;-0.15228;0.3165
"mondial";0.51371;0.82777;0.28515;0.45951;0.00726;0.00033;-0.14789;0.15997;0.6232;3.48204;0.29722;1.09305;-0.00143;3e-05;-0.01003;0.0017;-0.02529;0.01268;-0.02556;0.01451
"échelle";0.97015;2.3618;0.34976;0.55307;0.03911;0.0077;-0.04646;0.01263;0.02783;0.00555;0.06784;0.04556;0.18545;0.381;-0.04538;0.02775;-0.10215;0.16557;-0.00423;0.00032
"temps";-0.3395;0.2066;-0.27772;0.24907;-0.32694;0.38434;-0.13088;0.07159;-0.16559;0.14047;0.01759;0.00219;-0.1008;0.08039;-0.05012;0.02418;-0.20756;0.48829;0.15465;0.30365
"social";-0.12412;0.03014;-0.17361;0.10626;0.04027;0.00636;-0.22221;0.22527;0.04806;0.01292;0.01835;0.0026;-0.03887;0.01305;-0.14994;0.23624;-0.0584;0.04219;0.21014;0.61205
"nouveau";-0.2614;0.15207;0.22154;0.1968;0.16977;0.12868;-0.15317;0.12175;0.1359;0.11748;0.04264;0.01596;-0.09113;0.08159;-0.06839;0.05591;-0.25691;0.92886;-0.10683;0.1799
"histoire";-0.72287;1.19417;-0.0527;0.01144;-0.44064;0.89017;0.18582;0.18398;-0.13148;0.11292;0.17594;0.27906;0.10787;0.1174;-0.33376;1.36715;-0.15279;0.33735;0.03943;0.02517
"européen";-0.2653;0.18924;0.79454;3.05803;0.28058;0.42462;0.57835;2.09688;-0.17838;0.24452;-0.42;1.87081;-0.14165;0.23815;0.01083;0.00169;-0.29766;1.50629;0.08501;0.13763
"lien";0.27324;0.11375;0.35494;0.34582;0.10602;0.03435;-0.0214;0.00163;-0.25848;0.29094;0.18041;0.19561;-0.0803;0.04337;-0.00863;0.00061;0.13038;0.16376;-0.05611;0.03397
"travail";-0.17542;0.02528;0.36286;0.19488;-0.06308;0.00656;0.39624;0.30075;0.09244;0.02006;-0.01801;0.00105;0.18169;0.11972;0.38682;0.66016;0.36815;0.70405;0.24658;0.35381
"démocratie";-0.86997;0.29393;0.04205;0.00124;1.73676;2.34995;-0.10755;0.01047;0.9847;1.07631;0.25484;0.09949;-0.47637;0.38907;-0.35607;0.26443;-0.31644;0.24589;0.18411;0.09324
"loi";-0.86403;0.31223;-0.0815;0.00501;1.37636;1.58937;-0.26922;0.07068;0.50203;0.30128;-0.57455;0.54459;0.10665;0.021;0.28358;0.18062;0.26258;0.18234;0.53461;0.84668
"français";-0.35668;0.24323;0.73204;1.84593;0.25137;0.24236;0.74197;2.45416;0.11687;0.07464;-0.23037;0.40024;-0.05682;0.02725;0.05513;0.0312;-0.12837;0.19922;0.08416;0.09592
"mondialisation";0.79713;1.81278;0.79167;3.22153;-0.41997;1.00941;-0.97662;6.34464;0.63674;3.30604;0.09634;0.10446;0.31805;1.274;0.1167;0.20867;-0.00391;0.00028;-0.09121;0.16811
"culture";-0.22586;0.05181;-0.00014;0;-0.2677;0.14602;-0.19193;0.08724;0.00025;0;-0.21665;0.18806;0.24045;0.25925;0.05636;0.01733;-0.0198;0.00252;-0.16977;0.20735
"national";-0.15731;0.03179;0.29877;0.20659;-0.16817;0.07288;0.21991;0.14485;0.02025;0.00151;-0.47672;1.15158;0.21015;0.25044;-0.17185;0.20374;-0.21242;0.36651;-0.28341;0.73085
"deux";-0.10124;0.02082;-0.21592;0.17063;0.09503;0.0368;0.11712;0.06497;0.15119;0.13272;0.00488;0.00019;-0.29378;0.77401;-0.34961;1.33343;0.00239;7e-05;-0.15119;0.32892
"cas";0.91268;1.94096;-0.32361;0.43966;-0.00096;0;0.14795;0.11892;0.13833;0.12744;-0.21311;0.41746;-0.23402;0.56333;-0.18822;0.44333;0.20212;0.60195;-0.05185;0.04438
"discrimination";1.06609;0.01698;1.35282;0.04925;0.00212;0;-1.00795;0.03538;-0.1266;0.00068;0.6907;0.02811;0.50059;0.01652;-1.42113;0.16201;2.19713;0.45594;-0.17041;0.00307
"ressource";0.97853;1.38732;-0.64267;1.07815;0.38905;0.43993;0.40258;0.54751;-0.1601;0.10615;0.37558;0.80619;0.41745;1.11462;-0.03543;0.00977;-0.00496;0.00023;-0.06941;0.04944
"même";-0.2977;0.15885;0.01752;0.00099;-0.2427;0.2118;0.06304;0.01661;-0.04981;0.01271;-0.14764;0.15413;0.03178;0.00799;0.11346;0.12393;0.01139;0.00147;-0.27342;0.94915
"égalité";-0.42882;0.0412;0.18036;0.01313;0.58717;0.15496;0.41171;0.08855;0.2972;0.05656;-0.63327;0.35443;-0.02638;0.00069;-0.05266;0.00334;-0.01064;0.00016;0.05452;0.00472
"œuvre";-0.50197;0.58712;-0.19395;0.15793;-0.43289;0.87597;0.13146;0.09389;-0.12371;0.10193;0.04135;0.01572;0.29026;0.86668;-0.43694;2.38915;-0.24393;0.87667;-0.10454;0.18039
"également";0.2509;0.05548;-0.04432;0.00312;0.05945;0.00625;-0.13584;0.03792;0.27984;0.19726;-0.19978;0.13875;0.05929;0.01368;0.24223;0.2777;-0.05028;0.01409;0.01423;0.00126
"partir";-0.18927;0.05993;-0.20259;0.1237;0.13767;0.0636;-0.03079;0.0037;-0.15843;0.12002;-0.07539;0.03751;-0.19108;0.26965;0.16142;0.2341;0.06596;0.04603;0.04395;0.02289
"travailler";-0.002;0;0.38946;0.15511;0.58391;0.38822;0.12276;0.01994;-0.15675;0.03986;-0.02855;0.00182;0.29958;0.22488;0.08972;0.02454;0.12801;0.05881;0.13356;0.07172
"cadre";0.18606;0.03775;0.00386;3e-05;0.07778;0.01323;-0.10745;0.02935;-0.06534;0.01331;0.0081;0.00028;-0.24829;0.29676;-0.00369;8e-05;0.35901;0.88867;-0.30934;0.73907
"vie";-0.11897;0.02051;-0.38227;0.38147;-0.27008;0.21201;0.17225;0.10024;-0.10209;0.04316;0.13426;0.10302;0.14557;0.13555;-0.07027;0.03842;0.04375;0.01753;0.13544;0.18826
"notion";0.17823;0.0261;0.29034;0.12477;0.32166;0.17051;0.02206;0.00093;-0.04479;0.00471;0.45833;0.68073;0.06446;0.01507;-0.30068;0.39888;0.21727;0.24522;-0.00379;8e-05
"notamment";0.01285;0.00022;0.31424;0.23917;-0.22608;0.13783;-0.0155;0.00075;-0.32594;0.40819;0.06678;0.02365;0.01636;0.00159;-0.30396;0.66703;0.0591;0.02969;0.17143;0.27984
"mise";0.26113;0.12121;-0.09775;0.0306;-0.14793;0.07803;0.01686;0.00118;0.12421;0.07838;-0.19684;0.27167;-0.11747;0.10827;-0.08468;0.06845;-0.03579;0.01439;-0.20533;0.53079
"guerre";-0.98219;2.19026;0.04021;0.00661;0.65229;1.9379;0.33773;0.60383;0.90248;5.28533;0.90401;7.31903;-0.4316;1.86711;-0.33715;1.38596;-0.11763;0.19863;0.03512;0.01984
