  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
également;0.192;0.006;0.011;0.056;0.238;0.122;0.011;0.179;0.008;0.001
partir;0.182;0.209;0.096;0.005;0.128;0.029;0.186;0.133;0.022;0.01
travailler;0;0.228;0.513;0.023;0.037;0.001;0.135;0.012;0.025;0.027
cadre;0.097;0;0.017;0.032;0.012;0;0.172;0;0.36;0.267
vie;0.042;0.432;0.216;0.088;0.031;0.053;0.063;0.015;0.006;0.054
notion;0.054;0.145;0.177;0.001;0.003;0.36;0.007;0.155;0.081;0
notamment;0;0.247;0.128;0.001;0.266;0.011;0.001;0.232;0.009;0.074
mise;0.304;0.043;0.098;0.001;0.069;0.173;0.061;0.032;0.006;0.188
guerre;0.275;0;0.121;0.033;0.232;0.233;0.053;0.032;0.004;0
Europe;0.589;0.001;0.065;0.007;0;0.017;0.004;0.07;0.001;0.237
personne;0.14;0.079;0.043;0.057;0.006;0.075;0.057;0.073;0.413;0.058
place;0.404;0.017;0.376;0.044;0;0.052;0;0.07;0.035;0
citoyen;0.009;0.127;0.674;0.01;0.006;0;0.054;0.084;0.028;0.004
république;0.241;0.001;0.475;0;0.213;0.01;0.029;0.011;0.002;0.015
situation;0.382;0.163;0.02;0;0.129;0.207;0.005;0.003;0.011;0
économique;0.434;0.023;0.087;0.223;0.102;0.015;0.095;0.004;0.001;0.017
quel;0.063;0.083;0.795;0.004;0.018;0.012;0.012;0;0.007;0.004
forme;0.284;0.019;0.44;0.018;0.008;0.027;0.003;0.039;0.021;0.056
choisir;0.194;0.002;0.185;0.003;0.025;0.178;0.073;0.327;0;0.011
choix;0.779;0.094;0;0.013;0.017;0.004;0.035;0.039;0.001;0.004
art;0.392;0;0.314;0.144;0.001;0.058;0.047;0.029;0.004;0.005
dont;0.124;0.001;0.269;0.156;0.033;0;0.051;0.162;0.005;0.147
principe;0.506;0.011;0.075;0;0.019;0.141;0.156;0.025;0.001;0.05
femme;0.154;0.021;0.541;0.004;0.14;0.071;0.002;0.003;0.009;0.04
possible;0.045;0.017;0.008;0.074;0.158;0.106;0.158;0.302;0.026;0.005
contre;0.031;0.493;0.026;0;0.291;0.053;0.012;0.016;0.013;0.001
débat;0.01;0.048;0.005;0.118;0.196;0.037;0.127;0.25;0.062;0.103
lieu;0.004;0.171;0.155;0.024;0.002;0.186;0.023;0.052;0.336;0.017
site;0.022;0.009;0.181;0.437;0.155;0.01;0;0.005;0.007;0.063
action;0.035;0.002;0.269;0.033;0.119;0.065;0.057;0;0.134;0.287
donner;0.089;0;0.004;0.166;0.078;0.019;0;0.002;0.284;0
comment;0.159;0.013;0.477;0.007;0.046;0.003;0.113;0.088;0.006;0.061
puissance;0;0.175;0.017;0.098;0.472;0.007;0.005;0.008;0.088;0.042
prendre;0.076;0.187;0.194;0;0.059;0.018;0.012;0.282;0.112;0.012
groupe;0.031;0.027;0.142;0.381;0.095;0.039;0.07;0.069;0.145;0.001
enjeu;0.561;0.037;0.052;0.02;0.05;0.033;0.008;0.072;0.161;0.003
rôle;0.002;0.008;0.002;0.001;0.03;0.017;0.254;0.012;0.041;0.105
partie;0.105;0.029;0.14;0.539;0.064;0.034;0.009;0.051;0.021;0.001
compétence;0.008;0.058;0.72;0.061;0.011;0.058;0;0.045;0.011;0.025
réflexion;0.089;0.138;0.008;0.149;0;0.257;0.113;0.001;0.059;0.098
si;0.21;0.052;0.035;0.025;0.212;0.032;0.016;0.013;0.038;0.323
homme;0.05;0.289;0.016;0.175;0.009;0.07;0.018;0.016;0.001;0.262
étudier;0.025;0.458;0.004;0.151;0.059;0.044;0.023;0;0.232;0
agir;0.092;0;0;0.096;0.382;0.17;0.109;0.002;0.109;0.016
ensemble;0.256;0.242;0.15;0.1;0.002;0.002;0;0.028;0.029;0.028
population;0.642;0.175;0.007;0.064;0.005;0.005;0.082;0.007;0.003;0.01
éducation;0.197;0.308;0.004;0.104;0.019;0.078;0.134;0.007;0.101;0.04
séquence;0;0.198;0.027;0.032;0.277;0.032;0.038;0;0.001;0.024
violence;0.422;0.004;0.012;0.05;0.047;0.335;0.032;0.017;0;0.046
ville;0.255;0.119;0.06;0.027;0.01;0;0.015;0.121;0.359;0.001
certain;0.382;0.296;0.002;0.035;0.005;0.012;0.014;0;0.008;0.002
inégalité;0.727;0.029;0.004;0.079;0.009;0.036;0.001;0.027;0.027;0
sans;0.27;0.184;0.222;0;0.006;0.083;0.092;0.001;0.093;0.048
proposer;0.381;0.059;0.129;0.021;0.002;0.13;0.023;0.048;0.116;0.081
révolution;0.341;0.037;0.015;0;0;0.196;0.388;0.015;0.001;0.005
développer;0.283;0.165;0.002;0.237;0.09;0.053;0.028;0.044;0.004;0
