"agir";-0.02613;0.00109;0.05814;0.00585;-0.13688;0.04682;-0.2367;0.22715;-0.05434;0.01524
"ensemble";0.22135;0.09978;-0.17469;0.06726;-0.05125;0.00835;0.00226;3e-05;0.0881;0.05098
"population";-0.3419;0.3231;-0.26318;0.20719;0.36579;0.57743;-0.13174;0.12154;-0.04771;0.02029
"éducation";-0.54096;0.38313;-0.12888;0.02354;0.3859;0.30443;-0.32995;0.36113;0.33085;0.46224
"séquence";0.97772;0.13906;0.55787;0.049;0.29493;0.01976;-0.07466;0.00205;0.08563;0.00344
"violence";0.1936;0.01745;0.64297;0.20828;0.51844;0.19536;-0.1526;0.02746;-0.08459;0.01074
"ville";-0.01833;0.00112;-0.11309;0.04631;-0.16579;0.1436;-0.13425;0.15278;0.56822;3.48441
"certain";0.17844;0.0667;-0.11624;0.03063;-0.0437;0.00625;-0.06973;0.02581;0.02729;0.00503
"inégalité";-0.17292;0.07482;-0.24757;0.16597;0.19596;0.15002;-0.24202;0.37134;-0.13137;0.13928
"sans";0.03567;0.00333;0.18704;0.09914;0.06315;0.01631;-0.09712;0.06258;-0.1113;0.10462
"proposer";-0.30997;0.08666;0.01051;0.00011;-0.03001;0.00127;-0.08514;0.01657;0.14649;0.06243
"révolution";0.10239;0.02684;0.17627;0.0861;-0.81188;2.63508;0.36753;0.87626;0.08446;0.05891
"développer";-0.25789;0.1219;0.1172;0.02725;0.28753;0.2366;-0.09223;0.03951;0.05991;0.02122
"année";0.52706;0.61425;0.20976;0.1053;-0.12296;0.0522;-0.00858;0.00041;-0.06675;0.03178
"États";-0.11011;0.03669;0.01494;0.00073;-0.06335;0.01896;0.07983;0.04885;-0.17206;0.28894
"montrer";0.02816;0.00192;-0.3346;0.29261;0.2437;0.22393;-0.13277;0.10786;-0.07098;0.03925
"lier";0.00199;1e-05;-0.20009;0.08194;0.06541;0.01263;-0.0992;0.04716;0.23273;0.33038
"opinion";-0.01251;4e-05;0.89217;0.20051;-0.2348;0.02004;0.07122;0.00299;-0.40316;0.12202
"autour";-0.3392;0.16403;-0.17342;0.0464;0.14443;0.04643;0.05061;0.00925;-0.0518;0.01234
"problématique";-0.35152;0.27683;-0.1161;0.03268;0.1825;0.1165;-0.37356;0.79206;0.06071;0.02663
"idée";0.07043;0.00837;0.30757;0.17277;-0.30711;0.24851;0.0535;0.01224;-0.14226;0.11015
"parcours";0.65791;0.75559;-0.61966;0.72544;0.14751;0.05931;0.20886;0.19294;0.05155;0.01496
"presse";0.11537;0.00929;0.23918;0.04323;-0.63109;0.43422;0.25311;0.11334;0.21207;0.10129
"bien";-0.05046;0.00593;-0.36001;0.32649;-0.05714;0.01187;0.06539;0.02522;0.19742;0.2926
"général";0.01741;0.00056;-0.01585;5e-04;0.20697;0.12259;0.0546;0.01385;-0.08926;0.0471
"appuyer";-0.15791;0.0312;-0.13861;0.02601;-0.0605;0.00715;0.28909;0.26491;-0.08501;0.02916
"travers";-0.33876;0.15692;0.2726;0.10997;-0.15367;0.05042;-0.138;0.06598;-0.00124;1e-05
"acteur";-0.04848;0.00588;-0.05266;0.00751;-0.21169;0.17508;0.12268;0.09542;-0.11301;0.10307
"engagement";0.26275;0.0462;0.3623;0.09506;-0.10501;0.01152;0.54677;0.50688;0.01769;0.00068
"fait";-0.00664;7e-05;-0.02551;0.00119;-0.15549;0.0637;0.17125;0.12539;0.01785;0.00173
"valeur";0.30553;0.06518;-0.34019;0.08746;-0.07805;0.00664;-0.19216;0.06533;0.19291;0.08381
"lui";-0.118;0.02066;0.15704;0.0396;0.18497;0.07927;0.2621;0.25826;0.00076;0
"information";0.11973;0.01043;-0.05204;0.00213;-0.56461;0.36204;0.24737;0.11277;0.09215;0.01992
"approche";-0.23083;0.13177;-0.05969;0.00954;0.10953;0.04632;-0.00245;4e-05;0.15958;0.20312
"relation";-0.15992;0.05878;0.02028;0.00102;-0.05622;0.01134;-0.07243;0.03055;-0.06506;0.03138
