  ;facteur;NA;NA;NA;NA;
analyse;0.068;0.773;0.105;0.035;0.02
différence;0.044;0.017;0.41;0.391;0.138
support;0.32;0.527;0.073;0.03;0.051
particulièrement;0.348;0.042;0.404;0.069;0.137
régional;0.824;0.018;0.095;0.003;0.059
évidence;0.432;0.459;0.018;0.083;0.008
empire;0.098;0.347;0.168;0.301;0.085
expliquer;0.004;0.001;0.266;0.71;0.018
pauvre;0.712;0.011;0.003;0.26;0.013
vivre;0.001;0.016;0.017;0.956;0.01
suffrage;0.495;0.1;0.143;0.006;0.256
loin;0.269;0.696;0.019;0.015;0.001
engager;0.054;0.341;0.168;0.283;0.154
intérêt;0.001;0.263;0.367;0.082;0.287
mobilité;0.489;0.071;0.246;0.007;0.188
aménagement;0.631;0.002;0.216;0.114;0.037
niveau;0.833;0.086;0.029;0.035;0.018
stéréotype;0.046;0.485;0.292;0.09;0.087
essentiel;0.58;0.004;0.057;0.335;0.024
documentation;0.049;0.831;0.096;0.003;0.021
Louis;0.485;0.001;0.002;0.275;0.237
justice;0.007;0.194;0.361;0.387;0.05
mener;0.271;0.249;0.092;0.381;0.007
dignité;0.028;0.304;0.167;0.417;0.084
mobiliser;0.193;0.391;0.011;0.139;0.266
système;0.388;0.015;0.021;0.368;0.209
changement;0.014;0.346;0.103;0.453;0.084
individu;0.06;0.002;0.008;0.583;0.346
parmi;0.001;0.365;0.178;0.435;0.022
nombre;0.816;0.072;0.006;0.092;0.014
santé;0.488;0.025;0.147;0.29;0.049
respecter;0.12;0.104;0.746;0.001;0.03
inviter;0.001;0.153;0.618;0.002;0.226
civique;0.642;0.012;0.21;0.018;0.118
avant;0.304;0.042;0.172;0.427;0.056
connaissance;0.024;0.357;0.142;0;0.477
maritime;0.189;0.058;0.359;0.001;0.393
XIXe;0.106;0.002;0.616;0.039;0.237
mesure;0.617;0;0.048;0.322;0.013
la;0.258;0.017;0.554;0.062;0.109
utiliser;0.417;0.17;0.049;0.025;0.34
nécessaire;0.025;0.654;0.15;0.023;0.148
domaine;0.077;0.057;0.001;0.138;0.726
union;0.579;0.012;0.161;0.174;0.073
école;0.152;0.101;0.002;0.108;0.637
colonial;0.101;0;0.7;0.068;0.13
échange;0.008;0.049;0.735;0.186;0.022
aspect;0.301;0.201;0.446;0.019;0.032
marquer;0.002;0.305;0.031;0.662;0
affaire;0.096;0.048;0.781;0.043;0.033
élément;0.232;0.417;0.211;0.002;0.138
souvent;0.235;0.574;0.13;0.045;0.016
territorial;0.516;0.051;0.428;0.005;0
chaque;0.179;0.003;0.173;0.642;0.003
exercice;0.314;0.047;0.39;0.173;0.076
antisémitisme;0.478;0.001;0.072;0.36;0.089
concret;0.003;0.09;0.587;0.278;0.043
puis;0.415;0.221;0.109;0.019;0.236
nation;0.175;0.128;0.555;0.036;0.106
individuel;0.011;0.646;0.236;0.091;0.016
conscience;0.68;0.202;0.042;0.043;0.033
importance;0.038;0.486;0.064;0.379;0.033
savoir;0.349;0.383;0.259;0.004;0.005
dossier;0.021;0.925;0.005;0.048;0.001
roi;0.549;0.133;0.071;0.141;0.106
historique;0;0.438;0.32;0.042;0.2
ensuite;0;0.349;0.103;0.526;0.023
traite;0.001;0;0.64;0.01;0.349
traiter;0.31;0.216;0.278;0.053;0.143
critique;0.014;0.118;0.821;0.02;0.027
responsabilité;0.339;0.043;0.003;0.311;0.303
participer;0.029;0.175;0.136;0.001;0.659
États-Unis;0.176;0.003;0.771;0.037;0.013
dernier;0.021;0.155;0.172;0.491;0.161
source;0.737;0.018;0.043;0.07;0.132
industriel;0.17;0.058;0.406;0.19;0.177
technologique;0.052;0.247;0.245;0.437;0.019
accès;0.508;0.155;0.288;0.048;0.001
prise;0.588;0.032;0.001;0.102;0.278
établissement;0.108;0.394;0.359;0.138;0.001
numérique;0.55;0.063;0.215;0.162;0.01
évoquer;0.467;0.243;0.174;0.038;0.078
photographique;0.066;0.869;0.047;0.008;0.009
peuple;0.076;0.322;0.339;0.234;0.029
enfin;0.205;0.348;0.012;0.057;0.378
mouvement;0.044;0.496;0.12;0.318;0.023
environnement;0.301;0.106;0.21;0.352;0.031
lors;0.004;0.003;0.292;0.005;0.695
professionnel;0.399;0.395;0.012;0.015;0.179
moral;0.896;0.019;0.001;0.058;0.027
penser;0.508;0.111;0.107;0.024;0.25
après;0.18;0.007;0.246;0.249;0.317
commun;0.194;0.02;0.003;0.247;0.535
début;0.015;0.157;0.007;0.817;0.003
cycle;0.206;0.652;0.039;0.096;0.006
exercer;0.491;0.206;0.006;0.011;0.286
repère;0.66;0.237;0.011;0.05;0.042
EMC;0.663;0.045;0.014;0.238;0.041
phénomène;0.064;0.023;0.237;0.1;0.576
transformation;0.25;0.047;0.066;0.593;0.044
lumière;0.041;0.004;0.749;0.052;0.153
science;0.02;0.033;0.011;0.92;0.016
limiter;0.324;0.132;0.007;0.378;0.158
confronter;0.02;0.041;0.018;0.666;0.254
compte;0.102;0.025;0.041;0.755;0.077
inscrire;0.002;0.116;0.554;0.128;0.2
fonctionnement;0.109;0.23;0.046;0.25;0.366
lycée;0.551;0.408;0;0.01;0.031
reposer;0.253;0.513;0.182;0.036;0.015
environ;0.531;0.151;0.199;0.117;0.003
XVIIIe;0.002;0.118;0.777;0.087;0.016
envisager;0.016;0;0.069;0.832;0.082
offrir;0.007;0.018;0.485;0.23;0.26
seul;0.396;0.48;0.124;0;0
cause;0.071;0.352;0.539;0.017;0.022
sujet;0.046;0.207;0.024;0.162;0.561
religion;0.261;0.129;0.026;0.38;0.204
jusque;0.153;0.254;0.302;0.018;0.273
inégal;0.343;0.274;0.098;0.285;0
public;0.066;0.302;0.206;0.009;0.417
militaire;0.162;0.057;0.35;0.065;0.367
représentatif;0.295;0.045;0.589;0.004;0.067
républicain;0.391;0.126;0.106;0.014;0.362
cependant;0.031;0.17;0.208;0.288;0.303
réalité;0.423;0.189;0.022;0.092;0.274
considérer;0.075;0.385;0.274;0.126;0.14
chercher;0.305;0.526;0.002;0.123;0.043
écrire;0.489;0.072;0.007;0.423;0.01
commerce;0.001;0.023;0.422;0.004;0.551
besoin;0.554;0.181;0.261;0.001;0.003
paysage;0.133;0.31;0.195;0.01;0.351
fonder;0.158;0.006;0.696;0.015;0.125
divers;0.42;0.113;0.064;0.3;0.104
récit;0.266;0.057;0.35;0.082;0.245
personnel;0.133;0;0.002;0.849;0.016
fonction;0.294;0;0;0.62;0.086
concerner;0.002;0.218;0.075;0.547;0.159
handicap;0.033;0.26;0.418;0.033;0.256
tension;0.073;0.024;0.34;0.008;0.556
Paris;0.014;0.863;0.005;0.107;0.011
abord;0.857;0.017;0.047;0.001;0.078
centre;0.187;0.169;0.389;0.179;0.077
eux;0.327;0.529;0.079;0.001;0.064
alimentaire;0.614;0.079;0.2;0.086;0.022
trouver;0.79;0.009;0.172;0.028;0.001
agricole;0.386;0.225;0.323;0.061;0.005
mieux;0.222;0.736;0.027;0.001;0.013
prévention;0.279;0.311;0.294;0.1;0.016
processus;0.021;0.748;0.14;0.083;0.008
entreprise;0.02;0.216;0.64;0.023;0.101
riche;0.844;0.002;0.001;0.142;0.01
acquérir;0.02;0.093;0.881;0.003;0.004
moment;0.139;0.52;0.005;0.147;0.189
5e;0.503;0.116;0.181;0.129;0.071
répondre;0.166;0.275;0.152;0.103;0.303
eau;0.542;0.17;0.275;0.008;0.004
parfois;0.055;0.721;0.018;0.194;0.012
citoyenneté;0.71;0.032;0;0.215;0.043
cours|cour;0.312;0.492;0.003;0.003;0.19
raison;0.153;0.025;0.149;0.273;0.4
rester;0.009;0.031;0.139;0.808;0.013
communauté;0.366;0.001;0.11;0.194;0.328

